Dział;Lokalizacja;Staż;Polecił(a)bym firmę jako miejsce pracy;Satysfakcja z pracy;Przełożony wspiera mnie w pracy;Komunikacja w firmie jest skuteczna;Mam jasną ścieżkę rozwoju;Obciążenie pracą jest rozsądne;Współpraca między działami działa dobrze;Co działa dobrze?;Co warto poprawić?
Biuro;Warszawa;1-3 lata;8;4;5;4;4;3;4;Menedżer jest dostępny i daje regularny feedback.;Priorytety zmieniają się za często i trudno ustalić co jest najważniejsze.
Biuro;Warszawa;3-5 lat;7;4;4;4;3;4;4;Procesy są coraz lepiej opisane i nowe osoby szybciej się wdrażają.;Część narzędzi nadal wymaga pracy ręcznej w Excelu.
Produkcja;Łódź;3-5 lat;5;3;3;2;2;2;3;Zespół pomaga sobie na zmianie.;Po odejściu Anny komunikacja między zmianami jest słabsza.
Produkcja;Łódź;5+ lat;4;2;3;2;2;2;3;Bezpośredni lider stara się pomagać mimo presji.;Grafiki są zmieniane za późno a obciążenie jest nierówne.
Sprzedaż;Kraków;poniżej roku;9;4;5;3;3;3;3;Atmosfera w zespole jest dobra.;Brakuje jednego miejsca z decyzjami i właścicielami tematów.
Sprzedaż;Kraków;3-5 lat;7;3;4;3;3;2;3;Klienci doceniają szybkość reakcji zespołu.;Kanały sprzedaży mają sprzeczne priorytety i każdy ciągnie w swoją stronę.
Logistyka;Poznań;5+ lat;4;2;3;3;2;2;4;Ludzie potrafią się dogadać mimo presji.;Za dużo pracy wpada jako pilne bez jasnego priorytetu.
Logistyka;Poznań;1-3 lata;6;3;4;3;3;2;4;Współpraca w dziale działa dobrze.;Systemy magazynowe spowalniają pracę i trzeba dublować dane.
HR;Warszawa;1-3 lata;9;5;5;4;4;4;4;Widać realne zainteresowanie badaniem i planem działań.;Potrzebujemy lepszego systemu do raportowania wyników ankiet.
IT;Warszawa;3-5 lat;8;4;4;3;4;3;3;Duża autonomia i dobry dostęp do wiedzy technicznej.;Komunikacja o zmianach biznesowych trafia do nas za późno.
Obsługa klienta;Gdańsk;poniżej roku;6;3;4;3;2;2;3;Zespół szybko pomaga nowym osobom.;Szkolenia produktowe są za krótkie i potem dużo uczymy się na klientach.
Obsługa klienta;Gdańsk;1-3 lata;5;3;3;2;2;2;2;Doceniam wsparcie koleżanek i kolegów.;Presja czasu jest wysoka a priorytety zmieniają się w ciągu dnia.

