Dział;Tryb pracy;Staż;Polecił(a)bym firmę jako miejsce pracy;Wdrożenie było dobrze zaplanowane;Miałem/am dostęp do potrzebnych narzędzi;Przełożony regularnie sprawdzał postępy;Rozumiem oczekiwania wobec mojej roli;Mam kontakt z osobami które pomagają mi w pracy;Co najbardziej pomogło w pierwszych tygodniach?;Co było największą trudnością?
IT;Hybrydowy;0-3 miesiące;8;4;4;4;5;4;Buddy był dostępny i dobrze tłumaczył kontekst projektów.;Dostępy do systemów przyszły z opóźnieniem.
IT;Zdalny;0-3 miesiące;7;3;3;4;4;3;Dokumentacja techniczna pomogła szybko zacząć pracę.;Brakowało krótkiej mapy osób i odpowiedzialności.
Sprzedaż;Stacjonarny;0-3 miesiące;6;3;4;3;3;4;Szkolenie produktowe było praktyczne.;Tempo wdrożenia było zbyt szybkie i dużo wiedzy trzeba było łapać samemu.
Obsługa klienta;Stacjonarny;0-3 miesiące;5;2;3;3;3;3;Pomoc zespołu na dyżurach była bardzo ważna.;Pierwszy tydzień miał zbyt dużo informacji naraz.
Produkcja;Stacjonarny;0-3 miesiące;7;4;4;4;4;5;Instruktor na zmianie dobrze pokazywał standardy pracy.;Grafik szkoleń zmieniał się bez wcześniejszej informacji.
Logistyka;Stacjonarny;0-3 miesiące;6;3;3;4;3;4;Koledzy z działu pomagali przy obsłudze systemu.;Narzędzia i proces przyjęcia sprzętu były niejasne.
Biuro;Hybrydowy;0-3 miesiące;9;5;5;5;5;4;Jasny plan pierwszych 30 dni bardzo pomógł.;Chciałabym wcześniej poznać cele całego działu.
Finanse;Hybrydowy;0-3 miesiące;8;4;4;5;4;4;Przełożony regularnie wyjaśniał priorytety.;Część procedur była opisana w kilku różnych miejscach.
HR;Hybrydowy;0-3 miesiące;9;4;4;5;5;5;Spotkania z osobami z różnych działów dały dobry obraz firmy.;Brakowało jednego przewodnika po narzędziach.
Marketing;Zdalny;0-3 miesiące;7;3;3;4;4;3;Dobre nagrania ze szkoleń można było obejrzeć ponownie.;Praca zdalna utrudnia szybkie dopytanie o drobne rzeczy.

