Dział;Tryb pracy;Lokalizacja;Polecił(a)bym firmę jako miejsce pracy;Mam warunki do efektywnej pracy;Spotkania są dobrze prowadzone;Komunikacja asynchroniczna działa dobrze;Narzędzia wspierają współpracę;Czuję przynależność do zespołu;Co pomaga w pracy hybrydowej?;Co przeszkadza w pracy hybrydowej?
IT;Zdalny;Warszawa;8;4;3;4;4;4;Jasne zadania w systemie i dobre retrospektywy.;Za dużo spotkań statusowych bez decyzji.
IT;Hybrydowy;Kraków;9;5;4;4;5;4;Dobrze działają kanały projektowe i dokumentacja.;Informacje biznesowe czasem pojawiają się za późno.
Marketing;Hybrydowy;Warszawa;7;4;3;3;4;3;Wspólne dni biurowe pomagają w kreatywnej pracy.;Nie wiadomo które tematy omawiać synchronicznie a które asynchronicznie.
Sprzedaż;Mobilny;Kraków;6;3;2;2;3;3;Elastyczność pomaga lepiej planować spotkania z klientami.;Kanały komunikacji są rozproszone i łatwo przegapić decyzję.
Finanse;Hybrydowy;Warszawa;8;4;4;3;4;4;Stałe rytuały tygodniowe porządkują pracę.;Dokumenty są w kilku miejscach i trudno znaleźć aktualną wersję.
HR;Hybrydowy;Warszawa;9;4;4;4;4;5;Dni zespołowe wzmacniają relacje.;Nowym osobom trudniej poznać nieformalne zasady.
Obsługa klienta;Zdalny;Gdańsk;5;3;2;2;3;2;Praca z domu pomaga w koncentracji poza godzinami szczytu.;Brakuje szybkiego wsparcia gdy rozmowa z klientem eskaluje.
Biuro zarządu;Hybrydowy;Warszawa;7;4;3;3;4;3;Krótka lista priorytetów tygodnia pomaga ustawiać pracę.;Decyzje czasem zapadają na spotkaniach bez osób których dotyczą.
Analityka;Zdalny;Poznań;8;5;4;4;4;4;Dostęp do danych i spokojny tryb pracy zdalnej zwiększają efektywność.;Trudniej złapać kontekst zmian gdy nie ma krótkiego podsumowania.
Product;Hybrydowy;Kraków;7;4;3;3;4;3;Warsztaty w biurze dobrze domykają decyzje.;Po warsztatach brakuje jasnego właściciela dalszych działań.
