Dział;Poziom zarządzania;Liczba osób w zespole;Polecił(a)bym firmę jako miejsce pracy;Mam jasne priorytety dla zespołu;Mam wpływ na decyzje dotyczące pracy zespołu;Otrzymuję wystarczające wsparcie od przełożonego;Mam czas na rozmowy rozwojowe z ludźmi;Komunikacja strategiczna jest zrozumiała;Co pomaga w zarządzaniu zespołem?;Co najbardziej utrudnia zarządzanie?
Produkcja;Lider zmiany;12;5;2;2;3;2;2;Ludzie w zespole są doświadczeni i pomagają nowym.;Decyzje o grafiku przychodzą późno i trudno wyjaśnić je pracownikom.
Produkcja;Kierownik;48;6;3;3;4;2;3;Mam wsparcie dyrektora gdy eskaluję problem.;Za dużo tematów jest oznaczanych jako pilne.
Sprzedaż;Kierownik regionalny;22;7;3;3;3;2;2;Zespół ma energię i dobry kontakt z klientami.;Sprzeczne priorytety kanałów sprzedaży osłabiają decyzyjność.
Sprzedaż;Team leader;9;8;4;4;4;3;3;Regularne spotkania tygodniowe pomagają porządkować tematy.;Brakuje jednego źródła informacji o promocjach i zmianach.
Logistyka;Kierownik;31;4;2;2;3;1;2;Zespół jest samodzielny w codziennych zadaniach.;Nadmierne obciążenie operacyjne zabiera czas na ludzi.
Biuro;Manager;7;9;4;4;5;4;4;Mam dużą autonomię i dobry feedback od przełożonego.;Nie zawsze wiadomo które inicjatywy są naprawdę priorytetowe.
IT;Manager;11;8;4;3;4;3;3;Dobrze działa planowanie sprintów i retrospektywy.;Zmiany biznesowe pojawiają się bez pełnego kontekstu.
HR;Manager;5;9;4;4;5;4;4;Jest przestrzeń na rozmowy i pracę rozwojową.;Za dużo czasu zajmuje ręczne składanie raportów po badaniach.
Obsługa klienta;Team leader;16;6;3;3;4;2;3;Szybko widzimy problemy klientów i możemy reagować.;Rotacja w zespole utrudnia stabilne planowanie.
Finanse;Manager;6;7;4;3;4;3;3;Procesy są przewidywalne i dobrze opisane.;Decyzje międzydziałowe trwają długo i trudno ustalić właściciela.

